# Data from Open Admin Data (https://openadmindata.org/gw/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/guinea-bissau-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.sector,children_count.tabanca,zip_codes,geo.lat,geo.lon,source_url
GW01,1,Região,Region,Bafata,Bafata,bafata-gw01,GW01,,,,,,6,801,,12.138,-14.755,https://openadmindata.org/gw/regions/bafata-gw01/
GW0101,2,Sector,Sector,Bafata,Bafata,bafata-gw0101,GW0101,,GW01,Bafata,Bafata,,,200,,12.188,-14.586,
GW0102,2,Sector,Sector,Bambadinca,Bambadinca,bambadinca-gw0102,GW0102,,GW01,Bafata,Bafata,,,135,,12.019,-14.853,
GW0103,2,Sector,Sector,Contuboel,Contuboel,contuboel-gw0103,GW0103,,GW01,Bafata,Bafata,,,256,,12.481,-14.693,
GW0104,2,Sector,Sector,Galomaro/Cosse,Galomaro/Cosse,galomarocosse-gw0104,GW0104,,GW01,Bafata,Bafata,,,86,,11.967,-14.612,
GW0105,2,Sector,Sector,Gamamudo/Ganadu,Gamamudo/Ganadu,gamamudoganadu-gw0105,GW0105,,GW01,Bafata,Bafata,,,0,,12.275,-14.81,
GW0106,2,Sector,Sector,Xitole,Xitole,xitole-gw0106,GW0106,,GW01,Bafata,Bafata,,,124,,11.763,-14.68,
GW02,1,Região,Region,Biombo,Biombo,biombo-gw02,GW02,,,,,,3,164,,11.881,-15.786,https://openadmindata.org/gw/regions/biombo-gw02/
GW0201,2,Sector,Sector,Quinhamel,Quinhamel,quinhamel-gw0201,GW0201,,GW02,Biombo,Biombo,,,66,,11.872,-15.869,
GW0202,2,Sector,Sector,Prabis,Prabis,prabis-gw0202,GW0202,,GW02,Biombo,Biombo,,,55,,11.811,-15.739,
GW0203,2,Sector,Sector,Safim,Safim,safim-gw0203,GW0203,,GW02,Biombo,Biombo,,,43,,11.941,-15.674,
GW03,1,Região,Region,Bolama/Bijagos,Bolama/Bijagos,bolamabijagos-gw03,GW03,,,,,,4,248,,11.542,-16.343,https://openadmindata.org/gw/regions/bolamabijagos-gw03/
GW0301,2,Sector,Sector,Bolama,Bolama,bolama-gw0301,GW0301,,GW03,Bolama/Bijagos,Bolama/Bijagos,,,80,,11.567,-15.536,
GW0302,2,Sector,Sector,Bubaque,Bubaque,bubaque-gw0302,GW0302,,GW03,Bolama/Bijagos,Bolama/Bijagos,,,59,,11.234,-15.74,
